Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
1348.6618463993073	17	-132.34521537964827	-5.685403923329103	63.931985404256174	-21.308261827604465	-397.81211424762006	20.0	0.0	1020	180360	-118.67829766765699	-5.523055597546874
1422.3070464134216	18	-127.92467536354238	-5.610289050537441	64.73522481934485	-22.41466103829789	-473.46439413063786	20.0	0.0	1020	190380	-147.36032493746436	-5.584722838094574
1497.1402432918549	19	-128.06468360698145	-5.4436064834044355	64.30055577526869	-28.597656660164922	-394.5353908615948	20.0	0.0	1020	200400	-149.5911895166314	-6.202932362339892
1570.968326330185	20	-128.60279394463004	-5.578016507085441	68.13494690474678	-28.69162908300223	-366.3956021173848	20.0	0.0	1020	210420	-115.41923156246155	-5.226120268028089
1645.9438972473145	21	-124.18654999160233	-5.433389998397556	67.85298471196937	-21.65091238509368	-503.68535030406997	20.0	0.0	1020	220440	-124.67242701378096	-6.177623756676284
1719.6967527866364	22	-125.9683129931408	-5.223009314643775	64.79835811490007	-27.362320487817986	-374.6240203121653	20.0	0.0	1020	230460	-116.76905457242398	-5.1159341131199065
1793.2154858112335	23	-118.72603071450614	-5.0989429286893175	63.10685883511803	-20.851075071928097	-468.41247907266234	20.0	0.0	1020	240480	-119.72365833142338	-5.090646163421822
1867.3768219947815	24	-123.0517342235608	-5.170527022796336	69.94430807761918	-24.14485316828099	-426.965926831009	20.0	0.0	1020	250500	-96.21481781172145	-4.049015118361867
1939.9598138332367	25	-114.31148730752601	-4.477680707763659	60.831212675261	-32.2621575459352	-458.0597545227678	20.0	0.0	1020	260520	-131.16143928979184	-5.575507877410214
2015.558893918991	26	-119.96370939072148	-5.110275575840366	71.05670853269353	-19.867993036273802	-430.2631949399738	20.0	0.0	1020	270540	-106.6434967961499	-4.703986829488169
2090.956191778183	27	-112.04319148031414	-4.6068170023051325	65.93311659992945	-25.080071484386217	-380.1668676820289	20.0	0.0	1020	280560	-106.60561208860925	-4.642322942632833
2166.99013876915	28	-122.77872789287869	-5.1630967782368185	68.91410457863911	-28.213501411013954	-419.2042054516656	20.0	0.0	1020	290580	-132.15736890223633	-5.4368064253876485
2241.2819287776947	29	-115.78823014783673	-4.78765929307058	58.30308679425447	-26.35452979801484	-419.1737925678079	20.0	0.0	1020	300600	-132.27634000401824	-5.685799768227892
2318.0170657634735	30	-113.6307353972198	-4.67284021320603	61.402212520963715	-22.73546738386436	-392.3026014860254	20.0	0.0	1020	310620	-113.09164031121473	-4.742081248848194
2393.1662077903748	31	-110.79992721466012	-4.716650413875916	56.46215081222144	-24.61419062301199	-488.98337159604273	20.0	0.0	1020	320640	-99.35811458033386	-4.009017677733555
2468.8178997039795	32	-110.75844209868171	-4.474622275159426	62.17246505012025	-23.024604163189046	-504.362610979579	20.0	0.0	1020	330660	-112.2144494757379	-4.77858196797921
2542.975834131241	33	-110.12536989100118	-4.648836996508718	64.8724002710697	-19.55860671699912	-478.9377831326926	20.0	0.0	1020	340680	-106.91256898856832	-4.255072390107826
2619.7756400108337	34	-102.51555456558002	-4.122962057815802	58.11677714654211	-16.58845165233156	-348.247747128261	20.0	0.0	1020	350700	-105.59640878438367	-4.323771269016726
2694.1790935993195	35	-109.25947817976332	-4.375983476383101	66.76195344609708	-19.895108377325172	-447.74723047714855	20.0	0.0	1020	360720	-81.0449849289512	-3.318726508720688
2769.480981826782	36	-106.13589031692119	-4.277192838832228	62.793769023462445	-25.744055001155868	-436.7902824353406	19.97313432835821	0.49098806549992113	1020	370740	-79.59185592291357	-3.2590862348742498
2844.1370680332184	37	-96.50238133185805	-3.7980702055894096	55.03910856333174	-24.887018167625097	-412.72601708823333	20.0	0.0	1020	380760	-92.42834776496295	-2.977813426964025
2921.066925764084	38	-104.52535860279818	-4.27847602994209	55.79260482767873	-30.74013852416318	-367.5499374529686	20.0	0.0	1020	390780	-85.92492051736276	-3.2052889732950254
2996.5185799598694	39	-100.71848415850084	-3.967956175989915	53.88056402838227	-17.98746807518081	-319.2693946942626	20.0	0.0	1020	400800	-89.07590162877638	-3.8684258720391105
3072.396805047989	40	-106.01043041042888	-4.056295837856704	62.83577958991644	-25.289880670590314	-486.26935364541674	20.0	0.0	1020	410820	-97.100036865794	-3.679250063584224
3146.882601737976	41	-101.70648312371948	-3.7819149045123956	66.14146636383332	-18.779510762012706	-480.33783656056085	20.0	0.0	1020	420840	-112.0274353664176	-3.701638294850345
3223.850628376007	42	-101.33059915944695	-3.923506010798138	60.798202220652605	-27.532207953059302	-472.50762114528	20.0	0.0	1020	430860	-114.2759341121419	-4.318415724377162
3298.540764570236	43	-102.0313026867941	-3.7899760080461147	61.706185530252725	-16.649434058694368	-461.0933386013166	20.0	0.0	1020	440880	-109.6216015179048	-4.262358574387646
3373.80903339386	44	-97.7754902458341	-3.705741608410413	56.85765074221831	-29.713813233961304	-465.6912609750052	20.0	0.0	1020	450900	-78.25422445335676	-3.298839109352577
3447.665010213852	45	-99.51894194596642	-3.8831201363920407	75.33048344444124	-16.651054018328946	-806.7010030583779	20.0	0.0	1020	460920	-79.27501619798115	-3.201461357223512
3524.4482595920563	46	-103.571659640391	-3.97621574825275	87.83616731863482	-17.80110683717588	-1016.3700732178622	19.97313432835821	0.4909880654999209	1020	470940	-98.86319581679965	-4.040927680256484
3599.182916879654	47	-99.84166832164445	-3.9502831743573292	65.53353280456875	-16.02354489943016	-468.3847388120524	20.0	0.0	1020	480960	-93.17363328136784	-3.60527762787106
3674.2197320461273	48	-96.12299573435757	-3.637257089918628	59.738115935479115	-21.411103094005767	-401.0931530023085	20.0	0.0	1020	490980	-90.73705311762576	-2.7931645464328896
3749.059089422226	49	-102.72717431718468	-3.7561242650381987	67.38170955039956	-18.967828579404706	-490.75465475103306	20.0	0.0	1020	501000	-96.4042482422764	-3.382210502536561
3825.2647597789764	50	-110.08937993645628	-4.136743981456339	78.93690701736331	-8.066734377823284	-619.2738754694282	19.96716417910448	0.6000965244999037	1020	511020	-95.3944198097905	-3.556569644806606
3899.97691822052	51	-93.79138885678586	-3.612464554329251	51.98820192726034	-21.444138636380686	-324.7101444085603	20.0	0.0	1020	521040	-96.03074204696367	-3.568198248550054
3976.3738400936127	52	-99.33162723503855	-3.9120000146117118	67.00474203860436	-22.322265996569495	-458.0070163741291	20.0	0.0	1020	531060	-105.70757686789001	-4.173746344643916
4051.1143469810486	53	-100.17580625307622	-3.921188368508594	71.49919165350713	-20.867050362066763	-499.60219253333537	20.0	0.0	1020	541080	-128.1671016332459	-4.589028527718192
4127.443474054337	54	-108.77699008370686	-4.14380398652452	81.80235180586828	-15.213393114531666	-547.9777324170606	20.0	0.0	1020	551100	-104.72353935723277	-4.055708997861722
4202.787576198578	55	-106.95928481224841	-4.348651833369263	79.28738512510243	-24.87680495020504	-645.0965579279876	20.0	0.0	1020	561120	-114.2229271796007	-4.179030643361861
4277.684569358826	56	-104.81699100493402	-3.908409887498833	75.45518251757755	-19.280322995012767	-601.8907791392696	20.0	0.0	1020	571140	-97.00407786191637	-3.668436496051577
4351.305941581726	57	-103.45126681642672	-3.962977163514816	83.10342444559636	-19.393755476765243	-636.2096212527273	20.0	0.0	1020	581160	-137.82944355609976	-5.990081998680174
4424.589818239212	58	-96.6604733583012	-3.668435200490341	71.4038207062161	-14.601944298887814	-599.948460303309	20.0	0.0	1020	591180	-106.99576893513127	-4.162372588721439
4500.510488986969	59	-103.63428923418869	-4.135736104289359	79.55388490210605	-20.43692349354709	-592.3231604149655	20.0	0.0	1020	601200	-88.61327192107301	-3.1824044511737477
